id,pickup datetime,number
416,2020-01-01 1:01:55,1
2486,2020-01-01 1:02:09,0
266,2020-01-01 1:02:17,1
931,2020-01-01 1:02:22,2
880,2020-01-01 1:02:25,1
184,2020-01-01 1:02:26,1
388,2020-01-01 1:02:32,2
1306,2020-01-01 1:02:36,1
1657,2020-01-01 1:02:39,0
1170,2020-01-01 1:02:46,1
1168,2020-01-01 1:02:50,2
1672,2020-01-01 1:03:12,2
269,2020-01-01 1:03:15,1
1462,2020-01-01 1:03:20,1
109,2020-01-01 1:03:25,2
1598,2020-01-01 1:03:29,1
645,2020-01-01 1:03:32,2
189,2020-01-01 1:03:32,1
239,2020-01-01 1:03:45,1
1423,2020-01-01 1:03:58,2
418,2020-01-01 1:04:00,1
529,2020-01-01 1:04:02,0
2212,2020-01-01 1:04:02,1
265,2020-01-01 1:04:04,1
520,2020-01-01 1:04:12,0
809,2020-01-01 1:04:24,1
745,2020-01-01 1:04:34,1
1376,2020-01-01 1:04:40,1
256,2020-01-01 1:04:51,2
207,2020-01-01 1:04:57,1
299,2020-01-01 1:05:00,1
792,2020-01-01 1:05:03,1
1539,2020-01-01 1:05:07,1
1546,2020-01-01 1:05:12,1
2150,2020-01-01 1:05:15,1
1287,2020-01-01 1:05:16,0
280,2020-01-01 1:05:35,0
793,2020-01-01 1:05:38,1
349,2020-01-01 1:05:44,1
841,2020-01-01 1:05:50,1
323,2020-01-01 1:05:54,2
1024,2020-01-01 1:06:02,2
718,2020-01-01 1:06:23,1
800,2020-01-01 1:06:30,1
607,2020-01-01 1:06:32,1
1505,2020-01-01 1:06:33,1
1223,2020-01-01 1:06:36,1
1229,2020-01-01 1:06:44,1
1166,2020-01-01 1:06:55,1
750,2020-01-01 1:06:56,1
576,2020-01-01 1:07:01,1
414,2020-01-01 1:07:05,0
324,2020-01-01 1:07:14,2
1175,2020-01-01 1:07:39,1
177,2020-01-01 1:07:41,1
1021,2020-01-01 1:07:52,1
520,2020-01-01 1:08:39,1
680,2020-01-01 1:08:40,1
351,2020-01-01 1:08:45,1
1365,2020-01-01 1:08:52,0
640,2020-01-01 1:08:54,1
1378,2020-01-01 1:08:55,1
837,2020-01-01 1:09:00,2
2023,2020-01-01 1:09:02,2
1552,2020-01-01 1:09:03,2
1638,2020-01-01 1:09:06,1
443,2020-01-01 1:09:08,1
790,2020-01-01 1:09:12,1
681,2020-01-01 1:09:13,1
704,2020-01-01 1:09:28,1
1236,2020-01-01 1:09:30,1
147,2020-01-01 1:09:33,2
1107,2020-01-01 1:09:34,1
2540,2020-01-01 1:09:35,1
455,2020-01-01 1:09:36,1
686,2020-01-01 1:09:40,1
368,2020-01-01 1:09:43,1
400,2020-01-01 1:09:44,0
540,2020-01-01 1:09:44,1
283,2020-01-01 1:09:46,2
751,2020-01-01 1:09:48,2
569,2020-01-01 1:09:51,2
744,2020-01-01 1:09:57,1
1198,2020-01-01 1:09:59,1
246,2020-01-01 1:10:08,1
557,2020-01-01 1:10:08,1
79,2020-01-01 1:10:34,1
722,2020-01-01 1:10:35,1
1120,2020-01-01 1:10:53,2
1522,2020-01-01 1:11:02,2
1303,2020-01-01 1:11:04,1
635,2020-01-01 1:11:11,0
288,2020-01-01 1:11:11,1
1650,2020-01-01 1:11:17,1
570,2020-01-01 1:11:28,1
567,2020-01-01 1:11:34,2
1070,2020-01-01 1:11:41,1
662,2020-01-01 1:11:42,1
982,2020-01-01 1:11:54,1
344,2020-01-01 1:11:56,1
1177,2020-01-01 1:11:57,2
312,2020-01-01 1:11:58,1
1172,2020-01-01 1:11:59,1
575,2020-01-01 1:12:00,1
305,2020-01-01 1:12:01,2
1213,2020-01-01 1:12:03,2
427,2020-01-01 1:12:10,2
917,2020-01-01 1:12:22,0
2192,2020-01-01 1:12:29,2
1064,2020-01-01 1:12:33,1
1474,2020-01-01 1:12:33,1
637,2020-01-01 1:12:39,1
784,2020-01-01 1:12:39,0
293,2020-01-01 1:12:46,2
1372,2020-01-01 1:12:58,0
1183,2020-01-01 1:13:01,1
463,2020-01-01 1:13:23,2
472,2020-01-01 1:13:24,1
1167,2020-01-01 1:13:30,1
348,2020-01-01 1:13:42,1
735,2020-01-01 1:13:45,2
708,2020-01-01 1:13:48,2
435,2020-01-01 1:13:52,0
1034,2020-01-01 1:13:59,1
459,2020-01-01 1:14:05,2
573,2020-01-01 1:14:07,1
679,2020-01-01 1:14:07,1
1437,2020-01-01 1:14:15,1
953,2020-01-01 1:14:16,1
968,2020-01-01 1:14:17,0
2010,2020-01-01 1:14:17,1
142,2020-01-01 1:14:20,2
932,2020-01-01 1:14:24,1
424,2020-01-01 1:14:30,1
667,2020-01-01 1:14:33,1
221,2020-01-01 1:14:34,1
697,2020-01-01 1:14:42,2
314,2020-01-01 1:14:50,1
894,2020-01-01 1:15:07,1
259,2020-01-01 1:15:08,1
1749,2020-01-01 1:15:12,1
2003,2020-01-01 1:15:12,0
1998,2020-01-01 1:15:12,1
621,2020-01-01 1:15:26,1
936,2020-01-01 1:15:31,0
697,2020-01-01 1:15:32,1
294,2020-01-01 1:15:46,2
770,2020-01-01 1:15:52,0
564,2020-01-01 1:15:53,1
1024,2020-01-01 1:15:56,1
784,2020-01-01 1:16:08,2
158,2020-01-01 1:16:11,0
370,2020-01-01 1:16:13,1
2011,2020-01-01 1:16:20,1
650,2020-01-01 1:16:22,2
616,2020-01-01 1:16:23,1
698,2020-01-01 1:16:27,1
63,2020-01-01 1:16:33,1
544,2020-01-01 1:16:36,1
1270,2020-01-01 1:16:51,2
557,2020-01-01 1:16:57,1
202,2020-01-01 1:17:00,1
391,2020-01-01 1:17:02,2
1705,2020-01-01 1:17:12,1
756,2020-01-01 1:17:19,2
756,2020-01-01 1:17:27,1
597,2020-01-01 1:17:40,1
160,2020-01-01 1:17:43,1
747,2020-01-01 1:17:46,1
277,2020-01-01 1:17:49,2
158,2020-01-01 1:17:50,1
158,2020-01-01 1:17:51,2
438,2020-01-01 1:18:05,1
783,2020-01-01 1:18:09,2
571,2020-01-01 1:18:22,1
1067,2020-01-01 1:18:26,1
690,2020-01-01 1:18:38,0
229,2020-01-01 1:18:40,2
1437,2020-01-01 1:18:50,1
722,2020-01-01 1:18:57,2
485,2020-01-01 1:19:04,2
1740,2020-01-01 1:19:06,2
447,2020-01-01 1:19:10,2
377,2020-01-01 1:19:11,1
164,2020-01-01 1:19:12,1
490,2020-01-01 1:19:14,1
226,2020-01-01 1:19:23,1
675,2020-01-01 1:19:30,1
663,2020-01-01 1:19:37,1
1606,2020-01-01 1:19:38,2
290,2020-01-01 1:19:38,2
1614,2020-01-01 1:19:38,1
220,2020-01-01 1:19:41,1
580,2020-01-01 1:19:49,1
999,2020-01-01 1:19:51,2
462,2020-01-01 1:19:54,0
1679,2020-01-01 1:19:57,1
597,2020-01-01 1:20:10,1
445,2020-01-01 1:20:10,0
638,2020-01-01 1:20:11,2
1863,2020-01-01 1:20:12,0
455,2020-01-01 1:20:25,1
1930,2020-01-01 1:20:31,0
1939,2020-01-01 1:20:31,1
1448,2020-01-01 1:20:35,1
608,2020-01-01 1:20:37,1
59418,2020-01-01 1:20:44,1
117,2020-01-01 1:20:52,1
147,2020-01-01 1:20:59,1
1982,2020-01-01 1:21:00,1
909,2020-01-01 1:21:04,2
464,2020-01-01 1:21:16,0
460,2020-01-01 1:21:20,0
477,2020-01-01 1:21:30,1
406,2020-01-01 1:21:33,0
753,2020-01-01 1:21:44,1
481,2020-01-01 1:21:51,1
388,2020-01-01 1:21:54,1
671,2020-01-01 1:22:02,1
655,2020-01-01 1:22:02,1
860,2020-01-01 1:22:03,1
455,2020-01-01 1:22:10,2
635,2020-01-01 1:22:15,1
855,2020-01-01 1:22:26,1
1198,2020-01-01 1:22:27,1
1132,2020-01-01 1:22:31,2
478,2020-01-01 1:22:34,1
331,2020-01-01 1:22:36,1
401,2020-01-01 1:22:38,2
673,2020-01-01 1:22:39,2
110,2020-01-01 1:23:00,2
2066,2020-01-01 1:23:02,1
478,2020-01-01 1:23:08,1
2808,2020-01-01 1:23:15,1
487,2020-01-01 1:23:28,2
349,2020-01-01 1:23:30,2
1836,2020-01-01 1:23:49,0
641,2020-01-01 1:24:02,1
847,2020-01-01 1:24:07,1
562,2020-01-01 1:24:14,1
743,2020-01-01 1:24:15,1
229,2020-01-01 1:24:20,1
1166,2020-01-01 1:24:26,2
722,2020-01-01 1:24:27,1
1182,2020-01-01 1:24:31,1
174,2020-01-01 1:24:43,1
234,2020-01-01 1:24:44,2
686,2020-01-01 1:25:14,2
571,2020-01-01 1:25:16,1
499,2020-01-01 1:25:21,2
263,2020-01-01 1:25:22,1
373,2020-01-01 1:25:28,0
501,2020-01-01 1:25:31,2
562,2020-01-01 1:25:31,1
780,2020-01-01 1:25:35,1
182,2020-01-01 1:25:41,0
184,2020-01-01 1:25:42,1
489,2020-01-01 1:25:44,1
351,2020-01-01 1:25:46,1
461,2020-01-01 1:25:56,1
298,2020-01-01 1:26:02,1
220,2020-01-01 1:26:10,1
528,2020-01-01 1:26:14,2
817,2020-01-01 1:26:16,2
2944,2020-01-01 1:26:24,0
930,2020-01-01 1:26:29,1
868,2020-01-01 1:26:31,1
218,2020-01-01 1:26:34,1
861,2020-01-01 1:26:35,2
521,2020-01-01 1:27:00,1
581,2020-01-01 1:27:01,1
440,2020-01-01 1:27:17,0
341,2020-01-01 1:27:20,1
235,2020-01-01 1:27:21,2
314,2020-01-01 1:27:24,2
1697,2020-01-01 1:27:26,2
323,2020-01-01 1:27:28,1
151,2020-01-01 1:27:38,2
145,2020-01-01 1:27:42,1
342,2020-01-01 1:27:54,1
732,2020-01-01 1:27:55,1
1202,2020-01-01 1:28:06,1
828,2020-01-01 1:28:06,1
